token,token_type,frequency,mean_ig,mean_abs_ig
RXNORM:312961,RXNORM,1,-0.35988694429397583,0.35988694429397583
RXNORM:1367439,RXNORM,2,-0.35378182400017977,0.35793745052069426
ICD10CM:F10.10,ICD10CM,1,0.35764849185943604,0.35764849185943604
ICD10CM:F10.20,ICD10CM,1,-0.3544353246688843,0.3544353246688843
ICD10CM:J44.1,ICD10CM,2,-0.3526753783226013,0.3526753783226013
ICD10CM:Z60.4,ICD10CM,6,-0.08266398062308629,0.345987635354201
ICD10CM:T14.1,ICD10CM,2,-0.3405632972717285,0.3405632972717285
RXNORM:1648755,RXNORM,1,-0.3355831503868103,0.3355831503868103
RXNORM:1605257,RXNORM,5,-0.10728837326169013,0.3251826025545597
RXNORM:198031,RXNORM,2,-0.3210805356502533,0.3210805356502533
ICD10CM:O02.0,ICD10CM,2,0.08165905624628067,0.314068041741848
ICD10CM:O00.101,ICD10CM,1,0.3093324303627014,0.3093324303627014
SNOMED:314098000,SNOMED,9,0.3090216451221042,0.3090216451221042
RXNORM:749762,RXNORM,1,0.3076266050338745,0.3076266050338745
ICD10CM:J44.8,ICD10CM,2,-0.30628544837236404,0.30628544837236404
RXNORM:106258,RXNORM,1,0.3042595386505127,0.3042595386505127
SNOMED:386394001,SNOMED,2,-0.1559704840183258,0.3002290725708008
ICD10CM:33879002,ICD10CM,28,-0.06080175041487174,0.2977338403662933
RXNORM:1856546,RXNORM,2,-0.1522662341594696,0.29351410269737244
ICD10CM:B97.89,ICD10CM,23,-0.2282181239241491,0.28697211364203173
RXNORM:209387,RXNORM,12,0.28435582605501014,0.28435582605501014
RXNORM:312938,RXNORM,2,-0.2839817740023136,0.2839817740023136
ICD10CM:48333001,ICD10CM,3,-0.28346894184748334,0.28346894184748334
ICD10CM:E88.81,ICD10CM,13,0.15225788607047155,0.283391602910482
ICD10CM:Z56.0,ICD10CM,5,-0.05567879527807236,0.2810199722647667
RXNORM:748962,RXNORM,4,-0.1943950392305851,0.26546091958880424
SNOMED:392091000,SNOMED,1,-0.2642454504966736,0.2642454504966736
ICD10CM:M24.7,ICD10CM,2,-0.2628772631287575,0.2628772631287575
SNOMED:274474001,SNOMED,1,-0.261882483959198,0.261882483959198
SNOMED:171207006,SNOMED,194,-0.14309228720028222,0.2598245470909421
RXNORM:856980,RXNORM,3,0.2574114153782527,0.2574114153782527
ICD10CM:E66.9,ICD10CM,19,0.23453335542427867,0.25662348144932795
ICD10CM:183996000,ICD10CM,5,0.2559081818908453,0.2559081818908453
SNOMED:430193006,SNOMED,106,0.12084790714577122,0.2541385325866769
ICD10CM:S52.90X?,ICD10CM,1,-0.2511989176273346,0.2511989176273346
ICD10CM:M17.9,ICD10CM,2,0.1528386026620865,0.25075601041316986
RXNORM:1000126,RXNORM,6,0.033338832979400955,0.25057712011039257
RXNORM:314231,RXNORM,14,-0.17092389536888472,0.2500345091934183
ICD10CM:Z76.89,ICD10CM,142,-0.18032688970192218,0.24946501969136822
ICD10CM:F10.21,ICD10CM,1,-0.2493017464876175,0.2493017464876175
SNOMED:15081005,SNOMED,4,-0.23287288937717676,0.24916700925678015
ICD10CM:Y99.1,ICD10CM,8,0.12788889417424798,0.247923678252846
ICD10CM:M27.2,ICD10CM,1,-0.24250388145446777,0.24250388145446777
SNOMED:65200003,SNOMED,13,-0.18730074468140417,0.24053683117605174
ICD10CM:E88.8,ICD10CM,13,0.1008838820629395,0.239806027796406
ICD10CM:G47.9,ICD10CM,9,0.1328045508513848,0.23886567002369297
ICD10CM:160904001,ICD10CM,26,-0.07993935679013912,0.23404593335894439
ICD10CM:F43.12,ICD10CM,8,0.23331200517714024,0.23331200517714024
ICD10CM:423315002,ICD10CM,9,-0.08814684467183219,0.2333080901039971
SNOMED:103697008,SNOMED,115,0.05712976615633006,0.23311175238746015
ICD10CM:Z72.1,ICD10CM,1,0.2326708883047104,0.2326708883047104
ICD10CM:162673000,ICD10CM,18,-0.04205470242434078,0.23266861049665344
ICD10CM:R52.2,ICD10CM,14,0.21790753145303046,0.2326228240770953
ICD10CM:E88.810,ICD10CM,13,0.07071416996992551,0.2318027260211798
ICD10CM:F11.10,ICD10CM,1,-0.2310560941696167,0.2310560941696167
ICD10CM:Z60.8,ICD10CM,16,0.028997639194130898,0.22982432832941413
ICD10CM:160903007,ICD10CM,21,-0.12505975857909238,0.22479002669985806
ICD10CM:M16.30,ICD10CM,2,-0.22392942383885384,0.22392942383885384
ICD10CM:M23.50,ICD10CM,1,-0.22380957007408142,0.22380957007408142
ICD10CM:I25.9,ICD10CM,4,0.09321678709238768,0.21864544320851564
ICD10CM:T74.32X?,ICD10CM,9,-0.039436707066165075,0.21783240718974006
ICD10CM:S83.419?,ICD10CM,1,-0.2172592282295227,0.2172592282295227
RXNORM:849574,RXNORM,7,0.1919919443981988,0.21359403005668096
ICD10CM:P29.2,ICD10CM,185,0.05850109222370225,0.21245860630596006
ICD10CM:Z65.5,ICD10CM,1,-0.21238304674625397,0.21238304674625397
SNOMED:763302001,SNOMED,57,-0.07284894152626134,0.21205970424374468
ICD10CM:T50.901?,ICD10CM,5,-0.19622360840439795,0.21159437522292138
SNOMED:866148006,SNOMED,67,-0.04808261829303272,0.210791472567996
SNOMED:133899007,SNOMED,2,0.20749333500862122,0.20749333500862122
ICD10CM:M17.10,ICD10CM,2,0.07847314327955246,0.20407963544130325
ICD10CM:266948004,ICD10CM,10,0.03437186107039451,0.20085832178592683
ICD10CM:O99.891,ICD10CM,7,0.11509249146495547,0.2007328367659024
RXNORM:896001,RXNORM,7,-0.021910144814423153,0.19901130561317718
RXNORM:200031,RXNORM,1,-0.19828063249588013,0.19828063249588013
RXNORM:309362,RXNORM,1,-0.19802433252334595,0.19802433252334595
ICD10CM:R52,ICD10CM,14,0.1700630003054227,0.19748728309891053
ICD10CM:R73.03,ICD10CM,7,-0.04440036096743175,0.1927093384521348
ICD10CM:M10.9,ICD10CM,1,0.19196557998657227,0.19196557998657227
ICD10CM:R73.0,ICD10CM,7,-0.09694220711077962,0.19173490202852658
SNOMED:370789001,SNOMED,6,0.1915099578909576,0.1915099578909576
ICD10CM:O08.6,ICD10CM,6,-0.18195908796042204,0.19078470983852944
ICD10CM:J01.9,ICD10CM,25,-0.15163109362125396,0.1905899265408516
ICD10CM:J03.8,ICD10CM,5,-0.08740994781255722,0.18969961255788803
SNOMED:243085009,SNOMED,117,0.01882111670401616,0.1893765094459184
SNOMED:415300000,SNOMED,5,-0.18910403028130532,0.18910403028130532
RXNORM:856987,RXNORM,25,-0.17538931846618652,0.1877988824248314
SNOMED:60218003,SNOMED,9,-0.17428606976237562,0.1870983981837829
ICD10CM:B08.8,ICD10CM,11,-0.1480621781877496,0.18684385564516892
RXNORM:245134,RXNORM,21,-0.10881086048625764,0.1868344382161186
ICD10CM:E78.5,ICD10CM,17,-0.11042232154046788,0.18676678091287613
SNOMED:308283009,SNOMED,6,-0.18645253653327623,0.18645253653327623
SNOMED:225362009,SNOMED,116,0.14199108971234667,0.18537675318356348
RXNORM:1860491,RXNORM,3,-0.07629916692773502,0.18471692378322283
SNOMED:446573003,SNOMED,1,-0.1845245361328125,0.1845245361328125
ICD10CM:T14.20,ICD10CM,1,-0.18435925245285034,0.18435925245285034
RXNORM:308971,RXNORM,2,-0.1344322022050619,0.18404790200293064
SNOMED:14768001,SNOMED,5,-0.16461040861904622,0.18387972228229046
ICD10CM:T74.12X?,ICD10CM,3,0.03074432412783305,0.18290344874064127
SNOMED:85548006,SNOMED,2,0.1823618784546852,0.1823618784546852
RXNORM:896209,RXNORM,20,-0.14054042999632657,0.18221801966428758
RXNORM:314076,RXNORM,209,0.15923531307798752,0.1818214664035187
ICD10CM:J44.9,ICD10CM,2,-0.18062753602862358,0.18062753602862358
ICD10CM:314529007,ICD10CM,141,-0.09671780305207832,0.17889189574180553
SNOMED:274788003,SNOMED,116,-0.14239402962366826,0.17881902211731107
ICD10CM:M79.7,ICD10CM,1,-0.17833475768566132,0.17833475768566132
ICD10CM:47505003,ICD10CM,8,-0.12385241314768791,0.17817341536283493
ICD10CM:446654005,ICD10CM,2,0.055162932723760605,0.1769450344145298
SNOMED:428211000124100,SNOMED,131,-0.09721155330282814,0.17514191262907428
SNOMED:225415001,SNOMED,1,-0.1749642789363861,0.1749642789363861
RXNORM:310965,RXNORM,3,-0.1247648981710275,0.1731214535733064
ICD10CM:K12.2,ICD10CM,1,-0.17037838697433472,0.17037838697433472
ICD10CM:D64.9,ICD10CM,10,0.08208677303045989,0.16884770039469005
ICD10CM:O03.84,ICD10CM,6,-0.10632238288720448,0.16804199665784836
SNOMED:169673001,SNOMED,1,0.16714736819267273,0.16714736819267273
RXNORM:245314,RXNORM,20,-0.11338334940373898,0.16578653380274772
SNOMED:173291009,SNOMED,5,0.15905795712023973,0.1641248119994998
ICD10CM:J01.90,ICD10CM,25,-0.09006544303148985,0.1638404206559062
RXNORM:757594,RXNORM,3,-0.16304076462984085,0.16304076462984085
ICD10CM:F43.9,ICD10CM,13,0.09718924015760422,0.1628644919166198
ICD10CM:R45.7,ICD10CM,13,-0.07137057572030105,0.1602306874612203
SNOMED:183856001,SNOMED,4,-0.05590256117284298,0.1594911701977253
ICD10CM:25675004,ICD10CM,6,-0.06738698420425256,0.15853661360840002
SNOMED:63332003,SNOMED,6,0.15808693940440813,0.15808693940440813
SNOMED:710824005,SNOMED,251,0.016893335690432453,0.15736569268851583
ICD10CM:S06.0X0?,ICD10CM,4,-0.05154282599687576,0.15679948031902313
ICD10CM:Z65.3,ICD10CM,10,-0.016912179812788964,0.15453724823892118
SNOMED:710841007,SNOMED,137,-0.010345426330302101,0.15298354421422755
SNOMED:61746007,SNOMED,1,0.1529591679573059,0.1529591679573059
RXNORM:745752,RXNORM,7,-0.044861024245619774,0.15261648462287017
ICD10CM:J32.9,ICD10CM,28,0.05020183597558311,0.1514948682992586
ICD10CM:J02.0,ICD10CM,5,-0.03626458942890167,0.14984919130802155
SNOMED:23426006,SNOMED,3,-0.14969048524896303,0.14969048524896303
ICD10CM:T78.40X?,ICD10CM,4,0.14740779995918274,0.14740779995918274
ICD10CM:B08.5,ICD10CM,11,-0.13312874480404638,0.14567529494789513
SNOMED:234745004,SNOMED,6,0.11277294857427478,0.14528401646142206
ICD10CM:R56.9,ICD10CM,3,0.0215060052772363,0.14524582400918007
RXNORM:1043400,RXNORM,1,0.1436891257762909,0.1436891257762909
ICD10CM:169762003,ICD10CM,10,-0.11710902564227581,0.14335104878991842
ICD10CM:F43.11,ICD10CM,8,0.023920557694509625,0.14263076591305435
ICD10CM:S06.0X9?,ICD10CM,2,-0.13771834061481059,0.14257154776714742
SNOMED:1269321004,SNOMED,6,0.12972118146717548,0.1421728910257419
SNOMED:715252007,SNOMED,15,-0.0694843423863252,0.14206680729985238
ICD10CM:B95.3,ICD10CM,5,0.06387719064950943,0.14050677567720413
RXNORM:313782,RXNORM,9,0.019838825696044497,0.13984506411684883
ICD10CM:389095005,ICD10CM,88,0.0779696746665815,0.13959905042694035
SNOMED:81733005,SNOMED,33,-0.11114094409188538,0.1374863035356005
SNOMED:31676001,SNOMED,9,-0.025966245888008013,0.13670191230873266
SNOMED:713106006,SNOMED,74,-0.11395775840768742,0.13663072241596072
ICD10CM:O00.102,ICD10CM,1,-0.1359729766845703,0.1359729766845703
ICD10CM:741062008,ICD10CM,14,-0.09584652532690338,0.1358619950312589
ICD10CM:F43.1,ICD10CM,8,0.07774383015930653,0.1352627519518137
ICD10CM:M16.11,ICD10CM,2,-0.134801484644413,0.134801484644413
RXNORM:833135,RXNORM,1,0.13426277041435242,0.13426277041435242
ICD10CM:T74.21X?,ICD10CM,3,0.12884685893853506,0.12884685893853506
RXNORM:106892,RXNORM,105,-0.034982471766748596,0.12865965153933281
SNOMED:301807007,SNOMED,6,-0.12439796111236016,0.12863985169678926
SNOMED:315639002,SNOMED,6,0.03617560428877672,0.12862032217284045
SNOMED:252160004,SNOMED,16,-0.08073557959869504,0.12848881306126714
SNOMED:169230002,SNOMED,15,-0.10780310668051243,0.12791912245253723
ICD10CM:O03.81,ICD10CM,6,-0.06662159847716491,0.12692563173671564
RXNORM:860975,RXNORM,6,0.12681248411536217,0.12681248411536217
SNOMED:1260010008,SNOMED,116,-0.07004381955304215,0.12612558300968196
ICD10CM:J03.90,ICD10CM,11,-0.004072133367034522,0.12607615381817927
ICD10CM:T14.8XX?,ICD10CM,6,0.03139197391768297,0.12505851748088995
ICD10CM:F43.10,ICD10CM,8,0.04961795452982187,0.12465292122215033
ICD10CM:714628002,ICD10CM,7,-0.00945120890225683,0.12428139416234833
SNOMED:1256042007,SNOMED,10,-0.09923444637097419,0.12388565489090979
ICD10CM:O03.9,ICD10CM,7,0.10832703858613968,0.12376535683870316
ICD10CM:Y07.9,ICD10CM,3,-0.0016540947059790294,0.12310096994042397
ICD10CM:Z73.3,ICD10CM,13,0.09190854276172243,0.12305905652017547
SNOMED:443529005,SNOMED,9,0.12285858247843054,0.12285858247843054
SNOMED:1260009003,SNOMED,116,0.04615467694459547,0.12278247325167317
SNOMED:456191000124101,SNOMED,33,0.007865100598075625,0.11990058693724374
RXNORM:310798,RXNORM,148,0.10443026698634934,0.11910263207627812
SNOMED:104326007,SNOMED,9,0.08387214276525709,0.11804992457230885
ICD10CM:O03.83,ICD10CM,6,-0.011256798170506954,0.1178994585449497
ICD10CM:J20.9,ICD10CM,6,-0.11703545227646828,0.11703545227646828
SNOMED:103750000,SNOMED,33,-0.07680338227444074,0.11645445144368392
SNOMED:241046008,SNOMED,63,0.00775266067302298,0.11643521264121527
SNOMED:225386006,SNOMED,6,-0.10977561104421814,0.11616426535571615
ICD10CM:I21.4,ICD10CM,1,0.11404162645339966,0.11404162645339966
SNOMED:127783003,SNOMED,20,-0.0464933605864644,0.11384841967374086
ICD10CM:384709000,ICD10CM,2,-0.11327699199318886,0.11327699199318886
ICD10CM:J03.80,ICD10CM,5,0.08285883031785488,0.11315085850656033
ICD10CM:Y07.03,ICD10CM,3,0.11046384523312251,0.11046384523312251
ICD10CM:K05.10,ICD10CM,61,-0.07121238833842952,0.10989185079901678
RXNORM:834102,RXNORM,5,0.03436325155198574,0.10871954821050167
ICD10CM:J03.01,ICD10CM,5,-0.05415044873952866,0.10694621056318283
ICD10CM:B96.89,ICD10CM,2,-0.005235463380813599,0.10688217729330063
SNOMED:68071007,SNOMED,56,-0.048853238711931875,0.1066205777959632
ICD10CM:43878008,ICD10CM,5,-0.03997306376695633,0.1040122702717781
ICD10CM:R56.8,ICD10CM,3,0.00902404636144638,0.1030571237206459
SNOMED:180256009,SNOMED,2,0.1030157022178173,0.1030157022178173
RXNORM:1535362,RXNORM,56,0.010292530234437436,0.10266998652202476
ICD10CM:J03.9,ICD10CM,11,-0.042745056985454125,0.10262129675935615
ICD10CM:706893006,ICD10CM,3,0.011199255784352621,0.10177085796991985
SNOMED:14736009,SNOMED,1,0.10098612308502197,0.10098612308502197
ICD10CM:B34.9,ICD10CM,23,-0.056626791782353234,0.10070193081122378
SNOMED:281789004,SNOMED,2,0.03263602778315544,0.09871803596615791
SNOMED:225158009,SNOMED,77,0.05090711328394518,0.09857968241278711
ICD10CM:J03.0,ICD10CM,5,-0.07991339303553105,0.09815905578434467
ICD10CM:F19.20,ICD10CM,35,0.06675821242055723,0.0973674231341907
ICD10CM:P90,ICD10CM,3,-0.06897966066996257,0.09715661903222401
ICD10CM:J03.00,ICD10CM,5,0.004433248192071915,0.09700688049197197
ICD10CM:K08.1,ICD10CM,19,0.09558902803416315,0.09668423603043745
SNOMED:47758006,SNOMED,9,0.05481437510914273,0.09537046402692795
ICD10CM:T74.91X?,ICD10CM,3,-0.09470529109239578,0.09470529109239578
RXNORM:861467,RXNORM,1,-0.09306778758764267,0.09306778758764267
SNOMED:84100007,SNOMED,2,0.0923004262149334,0.0923004262149334
ICD10CM:Z30.2,ICD10CM,5,0.09207138493657112,0.09207138493657112
ICD10CM:Z63.8,ICD10CM,13,0.06331768932823952,0.09197902521834923
ICD10CM:O03.6,ICD10CM,6,-0.016912967587510746,0.09195553449292977
SNOMED:1259293006,SNOMED,7,-0.029488831758499146,0.09152669725673539
ICD10CM:J02.9,ICD10CM,11,0.048673060002990744,0.0915121533061293
SNOMED:410401003,SNOMED,96,0.09140013720025308,0.09140013720025308
RXNORM:866412,RXNORM,2,-0.09122904948890209,0.09122904948890209
ICD10CM:S19.9,ICD10CM,2,-0.0895575750619173,0.0895575750619173
SNOMED:3802001,SNOMED,32,-0.07312046929291682,0.08923112182674231
ICD10CM:73595000,ICD10CM,13,0.03756501224751656,0.08886870383643188
SNOMED:162676008,SNOMED,5,0.0050890050828456875,0.0888179711997509
ICD10CM:702927004,ICD10CM,4,-0.08875159360468388,0.08875159360468388
ICD10CM:72892002,ICD10CM,95,-0.035196893360759866,0.08843943714164197
ICD10CM:S83.4,ICD10CM,1,-0.08727574348449707,0.08727574348449707
ICD10CM:K08.109,ICD10CM,19,0.03794414981415397,0.08671081262199502
ICD10CM:Z59.82,ICD10CM,1,-0.08659584075212479,0.08659584075212479
ICD10CM:156073000,ICD10CM,6,0.06395017495378852,0.08638013262922566
ICD10CM:O03.82,ICD10CM,6,0.08206966457267602,0.0854900237172842
ICD10CM:T74.11X?,ICD10CM,3,0.08517612020174663,0.08517612020174663
ICD10CM:185349003,ICD10CM,9,-0.06174020800325605,0.0838878634903166
ICD10CM:Z34.00,ICD10CM,95,-0.019822945426169195,0.08383110379310031
ICD10CM:B00.2,ICD10CM,11,-0.012952330522239208,0.08351655516096136
SNOMED:306316000,SNOMED,1,0.08328858017921448,0.08328858017921448
SNOMED:11466000,SNOMED,2,-0.0831640399992466,0.0831640399992466
ICD10CM:T30.1,ICD10CM,3,-0.05500942965348562,0.08283527692159016
ICD10CM:O08.5,ICD10CM,6,0.08263892416531841,0.08263892416531841
ICD10CM:L25.9,ICD10CM,1,-0.08217836916446686,0.08217836916446686
ICD10CM:S06.00,ICD10CM,6,0.06949954728285472,0.08210518956184387
SNOMED:64544008,SNOMED,27,-0.02184243351910953,0.08136868673480219
SNOMED:271442007,SNOMED,9,-0.020582733468876943,0.08133984646863407
SNOMED:713026007,SNOMED,1,-0.08118786662817001,0.08118786662817001
SNOMED:284053004,SNOMED,1,-0.08100695163011551,0.08100695163011551
ICD10CM:A54.0,ICD10CM,2,0.05233457125723362,0.08065260015428066
SNOMED:386216000,SNOMED,7,-0.05042912478425673,0.07889483430023704
ICD10CM:609328004,ICD10CM,4,0.07858593482524157,0.07858593482524157
SNOMED:28163009,SNOMED,9,-0.06365566079815228,0.07850551812185182
ICD10CM:T74.9,ICD10CM,3,0.07673222819964091,0.07673222819964091
RXNORM:197591,RXNORM,1,-0.07656922936439514,0.07656922936439514
ICD10CM:K05.1,ICD10CM,61,-0.03493344844853292,0.07608799669952666
SNOMED:34043003,SNOMED,123,0.06978169292574976,0.0755939268378344
SNOMED:274804006,SNOMED,77,0.034316540230065584,0.07556806440017634
SNOMED:409023009,SNOMED,26,0.015224446757481648,0.07528842670413163
SNOMED:117015009,SNOMED,8,-0.047203285386785865,0.07347412989474833
SNOMED:310861008,SNOMED,9,0.008999158886985647,0.07270908681675792
ICD10CM:103697008,ICD10CM,58,0.005142323086680523,0.07196563116981294
ICD10CM:N30.00,ICD10CM,2,-0.07136732712388039,0.07136732712388039
ICD10CM:S89.8,ICD10CM,1,-0.07115967571735382,0.07115967571735382
SNOMED:5880005,SNOMED,26,0.05997252575336741,0.07086317273429953
SNOMED:311555007,SNOMED,8,0.036530153010971844,0.06996102526318282
SNOMED:268556000,SNOMED,7,0.06981216903243746,0.06981216903243746
ICD10CM:J02.8,ICD10CM,16,-0.0192439965903759,0.06907193514052778
ICD10CM:Z59.89,ICD10CM,1,-0.0673971176147461,0.0673971176147461
RXNORM:206905,RXNORM,1,-0.06737741827964783,0.06737741827964783
SNOMED:90226004,SNOMED,9,0.02662964082426495,0.06674037956529194
ICD10CM:S19.9XX?,ICD10CM,2,-0.06615651212632656,0.06615651212632656
SNOMED:165829005,SNOMED,9,0.02955475501302216,0.06603980592141549
ICD10CM:Z34.80,ICD10CM,95,0.004046807310691005,0.06577220114536192
SNOMED:117010004,SNOMED,9,0.010918465856876638,0.0654719052836299
ICD10CM:O03.8,ICD10CM,6,-0.005845976372559865,0.06540969262520473
ICD10CM:A38.9,ICD10CM,5,0.0009864240884780884,0.0650310531258583
SNOMED:91251008,SNOMED,10,0.05004869997501373,0.06432988625019789
SNOMED:104091002,SNOMED,16,0.006821005721576512,0.06429442181251943
SNOMED:269828009,SNOMED,9,-0.013527285566346513,0.06268513797678882
ICD10CM:O9A.219,ICD10CM,3,0.06258068233728409,0.06258068233728409
ICD10CM:F19.2,ICD10CM,35,0.02397773802014334,0.06251380226707884
SNOMED:51116004,SNOMED,2,0.062322141602635384,0.062322141602635384
RXNORM:835603,RXNORM,21,-0.023900855820448624,0.061379605682478064
SNOMED:76601001,SNOMED,29,-0.002688278797371634,0.061076787846355604
ICD10CM:M10.99,ICD10CM,1,0.06107329577207565,0.06107329577207565
ICD10CM:307426000,ICD10CM,2,0.042118217796087265,0.05989951267838478
SNOMED:386053000,SNOMED,2,-0.058392561972141266,0.058392561972141266
ICD10CM:O08.4,ICD10CM,6,-0.04550252249464393,0.057779939379543066
SNOMED:118001005,SNOMED,8,0.05643839613185264,0.056493971118470654
RXNORM:1049504,RXNORM,15,-0.04500725778440635,0.056386078521609304
RXNORM:105078,RXNORM,1,0.05495504289865494,0.05495504289865494
RXNORM:205923,RXNORM,29,-0.05465493993512515,0.05465493993512515
ICD10CM:Z59.41,ICD10CM,1,0.05426692217588425,0.05426692217588425
SNOMED:223470000,SNOMED,2,0.05406542122364044,0.05406542122364044
SNOMED:104375008,SNOMED,9,-0.020007216682036717,0.05405396243764295
SNOMED:57617002,SNOMED,2,-0.013005821034312248,0.053915658965706825
ICD10CM:O03.5,ICD10CM,6,0.00851443720360597,0.053758315121134125
ICD10CM:O03.7,ICD10CM,6,-0.021431236527860165,0.052572716337939106
ICD10CM:O08.3,ICD10CM,6,-0.0004523846631248792,0.051409644074738026
ICD10CM:185347001,ICD10CM,30,0.05070869040985902,0.05070869040985902
ICD10CM:A54.01,ICD10CM,2,-0.03382381983101368,0.05052549950778484
ICD10CM:T74.22X?,ICD10CM,3,0.0425684197495381,0.04868553144236406
ICD10CM:J43.9,ICD10CM,1,0.048269521445035934,0.048269521445035934
SNOMED:386478007,SNOMED,1,0.0465279184281826,0.0465279184281826
ICD10CM:S89.90X?,ICD10CM,1,-0.04639653116464615,0.04639653116464615
ICD10CM:Y07.04,ICD10CM,3,0.045995272075136505,0.045995272075136505
SNOMED:395123002,SNOMED,9,0.014267564104456041,0.04566103688234256
ICD10CM:266934004,ICD10CM,1,0.04510116204619408,0.04510116204619408
ICD10CM:T74.31X?,ICD10CM,3,0.03479201098283132,0.04437230030695597
SNOMED:275833003,SNOMED,9,0.008989164967917733,0.04360211045584745
ICD10CM:H66.9,ICD10CM,1,0.04295109212398529,0.04295109212398529
SNOMED:1290407002,SNOMED,1,-0.041481927037239075,0.041481927037239075
ICD10CM:Z59.8,ICD10CM,1,0.03870345279574394,0.03870345279574394
SNOMED:440546007,SNOMED,1,0.03766324743628502,0.03766324743628502
ICD10CM:N30.0,ICD10CM,2,0.012898107059299946,0.03658777754753828
SNOMED:10383002,SNOMED,1,0.036356400698423386,0.036356400698423386
ICD10CM:I21.9,ICD10CM,2,-0.03494954947382212,0.03494954947382212
SNOMED:399014008,SNOMED,7,0.023898623218493804,0.03486842675400632
ICD10CM:79586000,ICD10CM,1,0.03483166545629501,0.03483166545629501
ICD10CM:Z76.82,ICD10CM,1,0.03472721949219704,0.03472721949219704
ICD10CM:J45.9,ICD10CM,2,-0.034340381156653166,0.034340381156653166
ICD10CM:O00.1,ICD10CM,1,-0.03368424251675606,0.03368424251675606
ICD10CM:S89.9,ICD10CM,1,-0.032844290137290955,0.032844290137290955
ICD10CM:O00.109,ICD10CM,1,0.03266465291380882,0.03266465291380882
RXNORM:617312,RXNORM,1,-0.032376062124967575,0.032376062124967575
ICD10CM:O31.8,ICD10CM,1,0.030079549178481102,0.030079549178481102
